codigo_proceso,t2.procedimiento,total actividades,match paso 5,% paso 5,match paso 6,% paso 6,match paso 7,% paso 7,total match,sin cobertura,% cobertura global
T081001,Dispersar fondos,26,0,0.0%,0,0.0%,2,7.7%,2,24,7.7%
T081001,Facturar egresos y pago a terceros,70,0,0.0%,0,0.0%,2,2.9%,2,68,2.9%
T081001,Generar Facturacion Electronica,34,0,0.0%,0,0.0%,1,2.9%,1,33,2.9%
T081001,Generar Facturación electrónica,38,0,0.0%,0,0.0%,1,2.6%,1,37,2.6%
T081001,Gestionar ingresos y gastos de Ecosistemas,37,0,0.0%,0,0.0%,1,2.7%,1,36,2.7%
T081001,Gestionar ingresos y gastos de ecosistemas,41,0,0.0%,0,0.0%,1,2.4%,1,40,2.4%
T081001,Liquidar comisiones,16,0,0.0%,0,0.0%,0,0.0%,0,16,0.0%
T081001,Liquidar comisiones orquestador analítico,29,0,0.0%,0,0.0%,1,3.4%,1,28,3.4%
T081001,Liquidar comisiones semiautomático,28,0,0.0%,0,0.0%,1,3.6%,1,27,3.6%
T081001,Procedimiento contingente,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T081001,Recaudar pagos Aliados,33,0,0.0%,0,0.0%,0,0.0%,0,33,0.0%
T081001,Reversar comisión e IVA de comisión,15,1,6.7%,0,0.0%,2,13.3%,3,12,20.0%
T090101,Medir y analizar riesgo de mercado de tesorería,29,0,0.0%,0,0.0%,2,6.9%,2,27,6.9%
T090202,Realizar evaluacion de riesgo Operacional,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T090202,Realizar evaluación de riesgo operacional,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
T090303,Generar y enviar Contingencia,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T090303,Monitorear Limites y Cupos de Riesgo de Crédito de Tesorería,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T090303,Monitorio Límites y Cupos de Riesgo de Crédito de Tesorería,25,0,0.0%,0,0.0%,0,0.0%,0,25,0.0%
T120003,Normalizar y responder al cliente ante eventos de seguridad,50,0,0.0%,0,0.0%,4,8.0%,4,46,8.0%
T120004,Recuperar y contabilizar eventos de seguridad,53,0,0.0%,0,0.0%,0,0.0%,0,53,0.0%
T120301,Procedimiento Contingente,6,0,0.0%,0,0.0%,1,16.7%,1,5,16.7%
T120301,Procedimiento de Contingencia,7,0,0.0%,0,0.0%,1,14.3%,1,6,14.3%
T120301,Recibir e Investigar eventos de seguridad,32,0,0.0%,0,0.0%,0,0.0%,0,32,0.0%
T120301,Recibir e investigar eventos de fraude,72,0,0.0%,0,0.0%,0,0.0%,0,72,0.0%
T120302,Atención QRS,6,0,0.0%,0,0.0%,0,0.0%,0,6,0.0%
T120302,Consultas y desbloqueos,15,0,0.0%,1,6.7%,2,13.3%,3,12,20.0%
T120302,Gestión Correo Segtrans,12,0,0.0%,1,8.3%,1,8.3%,2,10,16.7%
T120302,Gestión correo Segtrans,12,0,0.0%,1,8.3%,1,8.3%,2,10,16.7%
T120302,Monitorear adquirencia,9,0,0.0%,1,11.1%,0,0.0%,1,8,11.1%
T120302,Monitorear transacciones y reaccionar ante eventos de fraude,40,0,0.0%,0,0.0%,0,0.0%,0,40,0.0%
T120302,Montos Altos,10,0,0.0%,0,0.0%,2,20.0%,2,8,20.0%
T120302,Montos altos,9,0,0.0%,0,0.0%,1,11.1%,1,8,11.1%
T120302,Procedimiento contingente,5,0,0.0%,0,0.0%,1,20.0%,1,4,20.0%
T120302,Recibir e investigar eventos de fraude,44,0,0.0%,0,0.0%,0,0.0%,0,44,0.0%
T140002,Administrar Bienes Recibidos en Pago,71,0,0.0%,0,0.0%,2,2.8%,2,69,2.8%
T140002,Formalizar Activos,37,0,0.0%,0,0.0%,0,0.0%,0,37,0.0%
T140002,Gestionar Vehiculos,13,0,0.0%,0,0.0%,0,0.0%,0,13,0.0%
T140002,Gestionar Vehiculos Recibidos en Pago,13,0,0.0%,0,0.0%,0,0.0%,0,13,0.0%
T140002,Gestionar Vehiculos y Maquinaria Recibidos en Pago,31,0,0.0%,0,0.0%,0,0.0%,0,31,0.0%
T140002,"Gestionar Vehiculos, Maquinaria o Tecnología Recibidos en Pago",30,0,0.0%,0,0.0%,0,0.0%,0,30,0.0%
T140002,"Gestionar Vehiculos, Maquinaria y Tecnología Recibidos en Pago",21,0,0.0%,0,0.0%,0,0.0%,0,21,0.0%
T140002,Realizar Administración Recurrente de Activos,24,0,0.0%,0,0.0%,0,0.0%,0,24,0.0%
