codigo_proceso,t2.procedimiento,t2.actividad,Código,Nombre de la Actividad
T080902,Conciliar transacciones y contabilidad de ecosistemas,conciliar información[cmt76] ,CMT76,Conciliar InformaciÃ³n
T080902,Conciliar transacciones y contabilidad de ecosistemas,conciliar información[cmt76 ,CMT76,Conciliar InformaciÃ³n
T080902,Conciliar transacciones y contabilidad de ecosistemas,c009 certificar cuenta ,CP0469,Certificar cuenta
T080902,Conciliar transacciones y contabilidad de ecosistemas,c005:certificar cuenta ,CP0469,Certificar cuenta
T080902,Conciliar transacciones y contabilidad de ecosistemas,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
T080902,Conciliar transacciones y contabilidad de ecosistemas,diligenciar formulario[act132] ,ACT132,Diligenciar Formulario
T080902,Conciliar transacciones y contabilidad de ecosistemas,identificar inconsistencias ,ACT202,Identificar Inconsistencia
T080902,Conciliar transacciones y contabilidad de ecosistemas,validar información [act341] ,ACT341,Validar InformaciÃ³n
T081001,Dispersar fondos,radicar solicitud de ajuste ,CMT79,Radicar Solicitud
T081001,Dispersar fondos,rechazar solicitud ,ACT264,Rechazar Solicitud
T081001,Facturar egresos y pago a terceros,generar documentos de pago ,CP1160,Generar documento
T081001,Facturar egresos y pago a terceros,m: soporte organizacional p: procesar pago de factura de proveedores ,ACT237,Procesar Pago
T081001,Generar Facturacion Electronica,rechazar solicitud ,ACT264,Rechazar Solicitud
T081001,Generar Facturación electrónica,rechazar solicitud ,ACT264,Rechazar Solicitud
T081001,Gestionar ingresos y gastos de Ecosistemas,m: soporte organizacional p: procesar pago de factura de proveedores ,ACT237,Procesar Pago
T081001,Gestionar ingresos y gastos de ecosistemas,m: soporte organizacional p: procesar pago de factura de proveedores ,ACT237,Procesar Pago
T081001,Liquidar comisiones orquestador analítico,aprobar solicitud ,CMP77,Aprobar Solicitud
T081001,Liquidar comisiones semiautomático,aprobar solicitud ,CMP77,Aprobar Solicitud
T081001,Reversar comisión e IVA de comisión,actualizar registro ,ACT011,Actualizar Registro
T081001,Reversar comisión e IVA de comisión,informar resultado ,ACT209,Informar Resultado
T090101,Medir y analizar riesgo de mercado de tesorería,descargar reporte [act122] ,ACT122,Descargar Reporte
T090101,Medir y analizar riesgo de mercado de tesorería,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T120003,Normalizar y responder al cliente ante eventos de seguridad,solicitar soportes (receptor fraude) ,ACT320,Solicitar Soporte
T120003,Normalizar y responder al cliente ante eventos de seguridad,solicitar soportes (estafa) ,ACT320,Solicitar Soporte
T120003,Normalizar y responder al cliente ante eventos de seguridad,solicitar soportes ,ACT320,Solicitar Soporte
T120003,Normalizar y responder al cliente ante eventos de seguridad,documentar y cerrar solicitud ,ACT378,Cerrar Solicitud
T120301,Procedimiento Contingente,activar contingencia operativa ,ACT363,Activar Contingencia
T120301,Procedimiento de Contingencia,activar contingencia operativa ,ACT363,Activar Contingencia
T120302,Consultas y desbloqueos,asignar solicitud a atender ,CMP75,Asignar Solicitud
T120302,Consultas y desbloqueos,rechazar solicitud ,ACT264,Rechazar Solicitud
T120302,Gestión Correo Segtrans,clasificar solicitud y priorizar ,CMP78,Clasificar Solicitud
T120302,Gestión correo Segtrans,clasificar solicitud y priorizar ,CMP78,Clasificar Solicitud
T120302,Montos Altos,m: cumplimiento de los servicios p: autenticar cliente usuario en sucursal ,ACT045,Autenticar Cliente
T120302,Montos Altos,autenticar cliente-usuario en sucursal cmp59 ,ACT045,Autenticar Cliente
T120302,Montos altos,autenticar cliente-usuario en sucursal cmp59 ,ACT045,Autenticar Cliente
T120302,Procedimiento contingente,activar contingencia ,ACT363,Activar Contingencia
T140002,Administrar Bienes Recibidos en Pago,c002 validar resultado estudio de títulos ,ACT347,Validar Resultado
T140002,Administrar Bienes Recibidos en Pago,c003 validar resultado estudio de títulos ,ACT347,Validar Resultado
T140002,Realizar Dación en pago - Restitución Voluntaria,radicar solicitud de ingreso ,CMT79,Radicar Solicitud
T140003,T140003 Monitorear el servicio Ecosistemas,realizar extracción de información [cmf03] ,CMF03,Extraer informaciÃ³n del documento
T140003,T140003 Monitorear el servicio Ecosistemas,realizar clasificación de información [cmf05] ,CMF05,Clasificar Documento Digital
T140003,T140003 Monitorear el servicio Ecosistemas,escalar caso [cmp75] ,CMP75,Asignar Solicitud
