t1.id_epica,t1.periodo,codigo_proceso,t2.procedimiento,t2.actividad,matched_proc_codes,matched_codigo_arquetipo,matched_nombre_arquetipo
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,agregar firmas y condiciones ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,abrir expediente del producto ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Evaluar alertas Panamá y Sucural,reportar terminar relación comercial ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Evaluar alertas Panamá y Sucural,"registrar, asignar y clasificar alertas ",['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Evaluar alertas Panamá y Sucural,c001: realizar evaluación básica ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Diagrama 1,recibir operación y soportes ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Diagrama 1,notificar inconsistencias ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Diagrama 1,confirmar operación ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Autorizar Operaciones CallBack,notificar inconsistencias ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Autorizar Operaciones CallBack,c009 validar operación por callback ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,solicitar lista actualizada ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,solicitar actualización ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,seleccionar rutina de lista control ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,recibir instrucción a validar ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,recibir instrucción ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,obtener archivo en ruta de entrega ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,notificar hallazgos de validación ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,entregar resultado al analista evaluador ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,ejecutar rutina de consulta ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,ejecutar ruta de consulta ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,ejecutar consulta en safetwatch ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,c003: validar fecha de actualización ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Administrar Listas de control,c002: validar el archivo más reciente ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,revisar mensaje de alerta en el sistema ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,registrar evidencia [act275] ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,recibir solicitud de apertura ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,recibir documentación [act265] ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,m: gestión de servicios administrativos p: custodiar documentos pagaré panamá ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,m: gestión de la relación con clientes p: evaluar clientes y usuarios ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,m: gestión de la relación con clientes p: evaluar alertas de clientes puerto rico ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,m: cumplimiento de los servicios p: ingresar novedades sobre depósitos panamá ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,m: cumplimiento de los servicios p: emitir cheques de gerencia y giros panamá ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,gestionar requerimiento con el comercial ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,gestionar inconsistencias [act191] ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,gestionar inconsistencia ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,enviar notificación de afiliación a mailpoint ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,enviar notificación al cliente ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,enviar comunicación/ notificación [cmc01] ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,ejecutar ajuste contable [act372] ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,crear producto pasivo ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,crear producto [act370] ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,corregir transacción ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,"contingencia, fecha actualización: 2025-09-03 ",['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,consultar la vinculación y actualización de clientes y partes relacionadas ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,c009 autorizar operaciones callback ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,c006 sox: elaborar conciliación diaria ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,c003 aprobar la apertura del producto pasivo ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,c002: verificar existencia de fondos ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,c001 verificar requisitos de titularidad ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,autorizar operaciones por callback ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,revisar mensaje de alerta en el sistema ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,m: soporte organizacional p: administrar documentos filiales del exterior ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,m: gestión de la relación con clientes p: evaluar clientes y/o usuarios ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,m: gestión de la relación con clientes p: crear o vincular personas filiales del exterior y sucursal ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,gestionar inconsistencia ,['PAN040103'],['ARQ002'],['Abrir producto']
