t1.id_epica,t1.periodo,codigo_proceso,t2.procedimiento,t2.actividad
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,solucionar inconsistencias 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,rechazar solicitud [act264] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,realizar cálculos revolvente 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,radicar solicitud [act246] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: soporte organizacional p: custodiar pagaré filiales del exterior 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de la relación con clientes p: evaluar alertas de clientes puerto rico 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: cumplimiento de los servicios p: administrar garantías 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,gestionar y ajustar diferencia 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,gestionar inconsistencias [act191] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,elaborar carpeta 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,desembolsar crédito [act123] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,crear producto [act370] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,crear la cuenta de préstamo 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,crear el desembolso 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,crear desembolso 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c010: validar viabilidad de operación 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c008: validar plantilla según tipo de operación 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c008: validar cufe de operación en la dian 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c005 sox realizar conciliación finacle y sap 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c004: validar cliente en listas de safewatch 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c004 validar cliente en listas de safewatch 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c003: validar lista de clientes críticos y reserva 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c002: revisar el estado del cliente 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c001 validar condiciones de lme y solicitud de crédito 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,ajustar valor [act016] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,actualizar o modificar información [cmp76] 
6811752,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,actualizar información financiera 
6811752,2026Q1,PAN040102,Autorizar Operaciones por Callback,recibir operación y soportes 
6811752,2026Q1,PAN040102,Autorizar Operaciones por Callback,m: cumplimiento de los servicios p: gestionar novedades de cartera 
6811752,2026Q1,PAN040102,Autorizar Operaciones por Callback,crear cuenta y autorizar desembolsos 
